Fecha,Indice general,Alimentos y bebidad,Vivienda,Educación,Transporte
01/01/2000,44.930830000000,37.869812000000,54.831037000000,31.901764000000,39.575323000000
01/02/2000,45.329380000000,38.316538000000,55.392364000000,32.192772000000,40.322848000000
01/03/2000,45.580681000000,38.597266000000,55.708654000000,32.208673000000,40.564544000000
01/04/2000,45.840018000000,38.772777000000,56.059294000000,32.217913000000,40.710893000000
01/05/2000,46.011379000000,38.909748000000,56.362827000000,32.350315000000,40.860430000000
01/06/2000,46.283920000000,38.947036000000,56.646648000000,32.438795000000,40.880407000000
01/07/2000,46.464466000000,39.004173000000,56.849377000000,32.499085000000,40.937708000000
01/08/2000,46.719785000000,39.117026000000,57.002590000000,32.922340000000,41.147420000000
01/09/2000,47.061072000000,39.285684000000,57.171722000000,36.396395000000,41.291013000000
01/10/2000,47.385136000000,39.428549000000,57.421671000000,36.427904000000,41.372340000000
01/11/2000,47.790288000000,39.624702000000,57.666084000000,36.427904000000,41.429588000000
01/12/2000,48.307671000000,39.756228000000,57.948049000000,36.427904000000,41.538911000000
01/01/2001,48.575476000000,40.196469000000,58.412073000000,36.708335000000,41.922402000000
01/02/2001,48.543328000000,40.588947000000,58.797856000000,36.916467000000,42.389588000000
01/03/2001,48.850888000000,40.863052000000,59.117400000000,36.919269000000,42.723104000000
01/04/2001,49.097309000000,41.152388000000,59.399158000000,36.921344000000,42.952212000000
01/05/2001,49.209970000000,41.365126000000,59.633128000000,37.034855000000,43.681001000000
01/06/2001,49.326364000000,41.471976000000,59.844517000000,37.138424000000,43.824293000000
01/07/2001,49.198202000000,41.480705000000,60.089765000000,37.176237000000,43.918755000000
01/08/2001,49.489688000000,41.509022000000,60.313613000000,37.582279000000,43.973199000000
01/09/2001,49.950381000000,41.596424000000,60.604055000000,41.513076000000,43.981823000000
01/10/2001,50.176135000000,41.774037000000,60.852075000000,41.533333000000,44.057343000000
01/11/2001,50.365149000000,41.875508000000,61.042053000000,41.533888000000,44.065629000000
01/12/2001,50.434899000000,41.912323000000,61.239318000000,41.533888000000,44.324465000000
01/01/2002,50.900472000000,42.169420000000,61.626643000000,41.732013000000,46.470676000000
01/02/2002,50.867750000000,42.448387000000,62.197386000000,41.879139000000,46.871124000000
01/03/2002,51.127948000000,42.693526000000,62.530389000000,41.942637000000,47.082782000000
01/04/2002,51.407235000000,42.830932000000,62.865571000000,41.950208000000,47.347092000000
01/05/2002,51.511429000000,42.919331000000,63.171691000000,41.961703000000,47.563243000000
01/06/2002,51.762586000000,42.887700000000,63.479513000000,42.024481000000,47.669584000000
01/07/2002,51.911181000000,42.870388000000,63.748264000000,42.064057000000,47.739919000000
01/08/2002,52.108560000000,42.939050000000,64.018251000000,42.606128000000,47.813813000000
01/09/2002,52.421984000000,43.012151000000,64.284450000000,45.704246000000,47.988699000000
01/10/2002,52.653036000000,43.265218000000,64.528673000000,45.705647000000,48.046425000000
01/11/2002,53.078877000000,43.398901000000,64.753667000000,45.705647000000,48.132910000000
01/12/2002,53.309930000000,43.492719000000,64.933531000000,45.705647000000,48.243246000000
01/01/2003,53.525441000000,43.793016000000,65.255440000000,45.871815000000,48.632372000000
01/02/2003,53.674122000000,44.078509000000,65.621611000000,46.166016000000,48.826035000000
01/03/2003,54.012930000000,44.328900000000,65.930075000000,46.239600000000,48.892812000000
01/04/2003,54.105144000000,44.462383000000,66.150009000000,46.310821000000,48.990382000000
01/05/2003,53.930560000000,44.589542000000,66.358076000000,46.329178000000,49.080113000000
01/06/2003,53.975112000000,44.632347000000,66.566785000000,46.359078000000,49.110753000000
01/07/2003,54.053339000000,44.627781000000,66.720330000000,46.414885000000,49.169418000000
01/08/2003,54.215490000000,44.687123000000,66.930639000000,47.411867000000,49.243409000000
01/09/2003,54.538238000000,44.753627000000,67.132316000000,49.619054000000,49.336372000000
01/10/2003,54.738207000000,44.955056000000,67.335270000000,49.616085000000,49.406239000000
01/11/2003,55.192542000000,45.236015000000,67.480476000000,49.632500000000,49.516844000000
01/12/2003,55.429811000000,45.535416000000,67.611436000000,49.633049000000,49.557666000000
01/01/2004,55.774317000000,45.964509000000,67.837390000000,49.757649000000,50.919950000000
01/02/2004,56.107945000000,46.347304000000,68.149477000000,49.962856000000,51.866616000000
01/03/2004,56.298071000000,46.598119000000,68.564680000000,50.030650000000,52.278003000000
01/04/2004,56.383032000000,46.796606000000,68.917459000000,50.134746000000,52.974913000000
01/05/2004,56.241603000000,47.012369000000,69.158559000000,50.205468000000,53.070447000000
01/06/2004,56.331745000000,47.234104000000,69.318031000000,50.274833000000,53.087678000000
01/07/2004,56.479390000000,47.409787000000,69.469668000000,50.406035000000,53.231149000000
01/08/2004,56.828041000000,47.619904000000,69.589982000000,50.962332000000,53.302726000000
01/09/2004,57.297917000000,47.877852000000,69.770345000000,53.345372000000,53.360648000000
01/10/2004,57.694747000000,48.215067000000,69.875000000000,53.345863000000,53.463879000000
01/11/2004,58.186899000000,48.420616000000,70.004449000000,53.348276000000,53.554115000000
01/12/2004,58.307088000000,48.742303000000,70.111334000000,53.354146000000,53.700656000000
