date,oro,plata,petroleo,gas_natural,indice_oro,indice_plata,indice_petroleo,indice_gas_natural,indice_general_mx,alimentos_bebidas_mx,vivienda_mx,educacion_mx,transporte_mx,indice_general_es,alimentos_bebidas_es,vivienda_es,educacion_es,transporte_es,sui_h_es,sui_m_es,sui_es,sui_m_mx,sui_h_mx,sui_mx
2014-12-01,1183.9,15.56,53.27,2.89,95.42193922785525,93.90464695232347,115.70373588184188,95.06578947368422,87.19,84.93,91.7,86.82,85.54,93.65,90.16,94.27,95.88,90.24,244.83333333333334,81.0,325.8333333333333,102.58333333333333,415.3333333333333,528.0833333333334
2015-01-01,1278.5,17.19,48.24,2.69,103.04666720399773,103.74170187085095,104.77845351867943,88.48684210526315,87.11,85.32,91.88,87.19,86.12,92.14,90.4,94.52,95.9,87.8,223.33333333333334,76.83333333333333,300.1666666666667,104.25,419.25,535.4166666666666
2015-02-01,1246.4666666666667,16.833333333333336,52.03666666666667,2.71,100.46479138120954,101.58921746127541,113.02490587894584,89.14473684210526,87.28,85.33,92.07,87.5,86.44,92.33,90.64,93.28,95.9,89.73,223.33333333333334,76.83333333333333,300.1666666666667,104.25,419.25,535.4166666666666
2015-03-01,1214.4333333333334,16.476666666666667,55.833333333333336,2.73,97.88291555842133,99.43673305169986,121.27135823921229,89.80263157894737,87.63,85.33,92.23,87.55,86.62,92.92,90.2,93.26,95.92,91.68,223.33333333333334,76.83333333333333,300.1666666666667,104.25,419.25,535.4166666666666
2015-04-01,1182.4,16.12,59.63,2.75,95.30103973563313,97.28424864212433,129.51781059947874,90.46052631578947,87.4,85.51,92.41,87.57,86.69,93.77,90.14,93.32,95.92,92.22,223.33333333333334,76.83333333333333,300.1666666666667,104.25,419.25,535.4166666666666
2015-05-01,1189.4,16.68,60.3,2.64,95.86523736600306,100.66385033192515,130.97306689834926,86.8421052631579,86.97,85.55,92.54,87.61,86.74,94.22,90.6,92.9,95.92,93.48,223.33333333333334,76.83333333333333,300.1666666666667,104.25,419.25,535.4166666666666
2015-06-01,1171.5,15.55,59.47,2.83,94.4225034254856,93.84429692214846,129.17028670721112,93.0921052631579,87.11,85.75,92.69,87.68,86.82,94.47,91.06,93.78,95.92,93.46,223.33333333333334,76.83333333333333,300.1666666666667,104.25,419.25,535.4166666666666
2015-07-01,1094.9,14.75,47.12,2.72,88.24856935600872,89.01629450814725,102.34578627280627,89.47368421052632,87.24,85.85,92.83,87.8,86.84,93.6,90.7,94.08,95.91,92.95,223.33333333333334,76.83333333333333,300.1666666666667,104.25,419.25,535.4166666666666
2015-08-01,1131.6,14.58,49.2,2.69,91.20657693237688,87.990343995172,106.86359687228497,88.48684210526315,87.42,86.01,92.96,88.7,87.24,93.29,91.34,92.86,95.91,90.83,223.33333333333334,76.83333333333333,300.1666666666667,104.25,419.25,535.4166666666666
2015-09-01,1115.5,14.51,45.09,2.52,89.90892238252599,87.56789378394689,97.93657688966118,82.89473684210526,87.75,86.32,93.1,90.53,87.58,93.0,91.41,91.76,96.17,89.62,223.33333333333334,76.83333333333333,300.1666666666667,104.25,419.25,535.4166666666666
2015-10-01,1141.5,15.57,46.59,2.32,92.00451358104296,93.96499698249849,101.19461337966986,76.3157894736842,88.2,86.67,93.21,90.54,87.8,93.6,91.93,91.41,96.36,89.1,223.33333333333334,76.83333333333333,300.1666666666667,104.25,419.25,535.4166666666666
2015-11-01,1100.9,14.67,41.815,2.33,88.73216732489723,88.53349426674714,90.82319721980886,76.64473684210526,88.69,86.91,93.37,90.54,87.9,93.94,91.76,91.99,96.4,89.1,223.33333333333334,76.83333333333333,300.1666666666667,104.25,419.25,535.4166666666666
